,city,location,restaurant_name,menu,price
0,ankara,altındağ,komagene etsiz çiğ köfte,2 Adet Ultra Mega Çiğ Köfte Dürüm + 2 Adet Komagene Ayran (29 cl.) ,"28,00 TL"
1,ankara,altındağ,komagene etsiz çiğ köfte,2’li Doritoslu Çiğ Köfte Tako Paketi,"15,00 TL"
2,ankara,altındağ,komagene etsiz çiğ köfte,Doritoslu Çiğ Köfte Tako Menü 1,"18,00 TL"
3,ankara,altındağ,komagene etsiz çiğ köfte,Doritoslu Çiğ Köfte Tako Menü 2,"37,00 TL"
4,ankara,altındağ,komagene etsiz çiğ köfte,Ambalajında Çiğ Köfte (600 gr.),"36,00 TL"
5,ankara,altındağ,komagene etsiz çiğ köfte,"3 çeyrek göbek marul, limon, 6 adet lavaş, 3 adet çiğ köfte sosu, 3 adet nar ekşili sos","31,50 TL"
6,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Çiğ Köfte Dürüm,"8,00 TL"
7,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Mega Çiğ Köfte Dürüm,"11,00 TL"
8,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Ultra Mega Dürüm,"12,50 TL"
9,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Double Dürüm,"13,50 TL"
10,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Çiğ Köfte Dürüm Menü,"10,25 TL"
11,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Mega Çiğ Köfte Dürüm Menü,"14,25 TL"
12,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Ultra Mega Dürüm Menü,"15,75 TL"
13,ankara,altındağ,komagene etsiz çiğ köfte,Doritos'lu Double Dürüm Menü,"16,75 TL"
14,ankara,altındağ,komagene etsiz çiğ köfte,2 Mega Çiğ Köfte Dürüm Fırsatı 2,"24,50 TL"
15,ankara,altındağ,komagene etsiz çiğ köfte,Dürüm Menü,"9,00 TL"
16,ankara,altındağ,komagene etsiz çiğ köfte,Dürüm Menü 2,"10,00 TL"
17,ankara,altındağ,komagene etsiz çiğ köfte,Genç Menü,"14,50 TL"
18,ankara,altındağ,komagene etsiz çiğ köfte,Double Dürüm Menü,"15,00 TL"
19,ankara,altındağ,komagene etsiz çiğ köfte,Mega Dürüm Menü,"12,50 TL"
20,ankara,altındağ,komagene etsiz çiğ köfte,Ultra Mega Dürüm Menü,"14,00 TL"
21,ankara,altındağ,komagene etsiz çiğ köfte,Acıktım Menü 1,"15,50 TL"
22,ankara,altındağ,komagene etsiz çiğ köfte,Acıktım Menü 2,"19,50 TL"
23,ankara,altındağ,komagene etsiz çiğ köfte,Acıktım Menü 3,"24,00 TL"
24,ankara,altındağ,komagene etsiz çiğ köfte,2'li Dürüm Menü,"17,50 TL"
25,ankara,altındağ,komagene etsiz çiğ köfte,Kanka Menü 1,"25,00 TL"
26,ankara,altındağ,komagene etsiz çiğ köfte,Kanka Menü 2,"31,00 TL"
27,ankara,altındağ,komagene etsiz çiğ köfte,3'lü Mega Dürüm Menü,"34,00 TL"
28,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte Menü (200 gr.),"20,00 TL"
29,ankara,altındağ,komagene etsiz çiğ köfte,Hafif Menü,"31,00 TL"
30,ankara,altındağ,komagene etsiz çiğ köfte,Açız Menü 1,"37,00 TL"
31,ankara,altındağ,komagene etsiz çiğ köfte,Açız Menü 2,"42,00 TL"
32,ankara,altındağ,komagene etsiz çiğ köfte,3 Adam Menü,"39,00 TL"
33,ankara,altındağ,komagene etsiz çiğ köfte,Aile Menü 1,"55,00 TL"
34,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte Tako Menü 1,"16,00 TL"
35,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte Tako Menü 2,"33,00 TL"
36,ankara,altındağ,komagene etsiz çiğ köfte,2’li Çiğ Köfte Tako Paketi,"13,00 TL"
37,ankara,altındağ,komagene etsiz çiğ köfte,Sıcak Sıcak Menü 1,"15,50 TL"
38,ankara,altındağ,komagene etsiz çiğ köfte,Sıcak Sıcak Menü 2,"20,50 TL"
39,ankara,altındağ,komagene etsiz çiğ köfte,Sıcak Sıcak Menü 5,"21,50 TL"
40,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte (200 gr.),"12,50 TL"
41,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte (400 gr.),"23,50 TL"
42,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte (600 gr.),"36,00 TL"
43,ankara,altındağ,komagene etsiz çiğ köfte,"3 çeyrek göbek marul, limon, 6 adet lavaş, 3 adet çiğ köfte sosu, 3 adet nar ekşili sos","31,50 TL"
44,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte (800 gr.),"41,00 TL"
45,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte (1 kg.),"48,00 TL"
46,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte Dürüm,"6,50 TL"
47,ankara,altındağ,komagene etsiz çiğ köfte,Mega Çiğ Köfte Dürüm,"9,00 TL"
48,ankara,altındağ,komagene etsiz çiğ köfte,Ultra Mega Dürüm,"10,50 TL"
49,ankara,altındağ,komagene etsiz çiğ köfte,Double Dürüm,"11,50 TL"
50,ankara,altındağ,komagene etsiz çiğ köfte,"Fırında 200 c'de 5 dakika, mikrodalgada 1 adet için 20-30 saniye ısıtınız.","6,00 TL"
51,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Orta),"3,00 TL"
52,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Küçük),"2,00 TL"
53,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Büyük) (2'li Paket),"12,00 TL"
54,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Büyük) (2'li Paket),"11,00 TL"
55,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Orta) (4'lü Paket),"12,00 TL"
56,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Orta) (4'lü Paket),"11,00 TL"
57,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Küçük) (6'lı Paket),"12,00 TL"
58,ankara,altındağ,komagene etsiz çiğ köfte,Etli Kızartma İçli Köfte (Küçük) (6'lı Paket),"11,00 TL"
59,ankara,altındağ,komagene etsiz çiğ köfte,Tavuklu Pilav (300 gr.),"12,50 TL"
60,ankara,altındağ,komagene etsiz çiğ köfte,Tavuklu Pilav (500 gr.),"18,50 TL"
61,ankara,altındağ,komagene etsiz çiğ köfte,Nohut Pilav (250 gr.),"8,50 TL"
62,ankara,altındağ,komagene etsiz çiğ köfte,Ekstralar,"1,50 TL"
63,ankara,altındağ,komagene etsiz çiğ köfte,Burger Sos (30 gr.),"1,50 TL"
64,ankara,altındağ,komagene etsiz çiğ köfte,Çiğ Köfte Sos (22 gr.),"1,00 TL"
65,ankara,altındağ,komagene etsiz çiğ köfte,Çok Acı Sos (22 gr.),"1,00 TL"
66,ankara,altındağ,komagene etsiz çiğ köfte,Paket Nar Ekşisi (15 gr.),"1,00 TL"
67,ankara,altındağ,komagene etsiz çiğ köfte,Lavaş (2 Adet),"1,50 TL"
68,ankara,altındağ,komagene etsiz çiğ köfte,Yeşillik (Büyük),"5,00 TL"
69,ankara,altındağ,komagene etsiz çiğ köfte,Yeşillik (Küçük),"4,00 TL"
70,ankara,altındağ,komagene etsiz çiğ köfte,Bardakta Turşu,"2,50 TL"
71,ankara,altındağ,komagene etsiz çiğ köfte,Supangle,"7,50 TL"
72,ankara,altındağ,komagene etsiz çiğ köfte,Profiterol,"7,50 TL"
73,ankara,altındağ,komagene etsiz çiğ köfte,Kemalpaşa Tatlısı (110 gr.),"4,00 TL"
74,ankara,altındağ,komagene etsiz çiğ köfte,Klasik Peynir Helvası,"5,00 TL"
75,ankara,altındağ,komagene etsiz çiğ köfte,Portakallı Peynir Helvası,"5,00 TL"
76,ankara,altındağ,komagene etsiz çiğ köfte,Çilekli Peynir Helvası,"5,00 TL"
77,ankara,altındağ,komagene etsiz çiğ köfte,Yaban Mersinli Peynir Helvası,"5,00 TL"
78,ankara,altındağ,komagene etsiz çiğ köfte,Höşmerim (120 gr.),"5,00 TL"
79,ankara,altındağ,komagene etsiz çiğ köfte,İrmik Helvası (120 gr.),"5,00 TL"
80,ankara,altındağ,komagene etsiz çiğ köfte,İrmik Helvası (250 gr.),"9,50 TL"
81,ankara,altındağ,komagene etsiz çiğ köfte,Kazandibi,"7,50 TL"
82,ankara,altındağ,komagene etsiz çiğ köfte,Şam Tatlısı (Adet),"3,50 TL"
83,ankara,altındağ,komagene etsiz çiğ köfte,Diğer,"3,50 TL"
84,ankara,altındağ,komagene etsiz çiğ köfte,Ruffles Sade (62 gr.),"3,50 TL"
85,ankara,altındağ,komagene etsiz çiğ köfte,Lay's Klasik (62 gr.),"3,50 TL"
86,ankara,altındağ,komagene etsiz çiğ köfte,Coca-Cola (33 cl.),"5,50 TL"
87,ankara,altındağ,komagene etsiz çiğ köfte,Fanta (33 cl.),"5,50 TL"
88,ankara,altındağ,komagene etsiz çiğ köfte,Sprite (33 cl.),"5,50 TL"
89,ankara,altındağ,komagene etsiz çiğ köfte,Fuse Tea (33 cl.),"5,50 TL"
90,ankara,altındağ,komagene etsiz çiğ köfte,Cappy (33 cl.),"5,50 TL"
91,ankara,altındağ,komagene etsiz çiğ köfte,Komagene Ayran (29 cl.),"3,50 TL"
92,ankara,altındağ,komagene etsiz çiğ köfte,"Komagene Ayran (19,5 cl.)","2,50 TL"
93,ankara,altındağ,komagene etsiz çiğ köfte,Şalgam Suyu (30 cl.),"4,00 TL"
94,ankara,altındağ,komagene etsiz çiğ köfte,Kızılay Sade Soda (20 cl.),"3,00 TL"
95,ankara,altındağ,komagene etsiz çiğ köfte,Bardak Limonata (24 cl.),"2,50 TL"
96,ankara,altındağ,komagene etsiz çiğ köfte,Soda (20 cl.),"3,00 TL"
97,ankara,altındağ,komagene etsiz çiğ köfte,Su (50 cl.),"2,00 TL"
98,ankara,altındağ,komagene etsiz çiğ köfte,Coca-Cola (1 L.),"7,50 TL"
99,ankara,altındağ,komagene etsiz çiğ köfte,Fanta (1 L.),"7,50 TL"
100,ankara,altındağ,komagene etsiz çiğ köfte,Komagene Ayran (1 L.),"7,50 TL"
101,ankara,altındağ,komagene etsiz çiğ köfte,Şalgam Suyu (1 L.),"7,50 TL"
102,ankara,altındağ,komagene etsiz çiğ köfte,Poşet,"0,25 TL"
103,ankara,polatlı,komagene etsiz çiğ köfte,Coca-Cola Seçilmiş Menüleri,"18,50 TL"
104,ankara,polatlı,komagene etsiz çiğ köfte,"Seçilmiş Menü (2 Çiğ Köfte Tako) 2 Adet Çiğ Köfte Tako (Tako Lavaşı, Çiğ Köfte, Tako Peyniri, Meksika Fasulyesi, Burger Sos) + Coca-Cola (33 cl.) - .","16,50 TL"
105,ankara,polatlı,komagene etsiz çiğ köfte,2 Adet Ultra Mega Çiğ Köfte Dürüm + 2 Adet Komagene Ayran (29 cl.) ,"28,00 TL"
106,ankara,polatlı,komagene etsiz çiğ köfte,2’li Doritoslu Çiğ Köfte Tako Paketi,"15,00 TL"
107,ankara,polatlı,komagene etsiz çiğ köfte,Doritoslu Çiğ Köfte Tako Menü 1,"18,00 TL"
108,ankara,polatlı,komagene etsiz çiğ köfte,Doritoslu Çiğ Köfte Tako Menü 2,"37,00 TL"
109,ankara,polatlı,komagene etsiz çiğ köfte,Ambalajında Çiğ Köfte (600 gr.),"36,00 TL"
110,ankara,polatlı,komagene etsiz çiğ köfte,"3 çeyrek göbek marul, limon, 6 adet lavaş, 3 adet çiğ köfte sosu, 3 adet nar ekşili sos","31,50 TL"
111,ankara,polatlı,komagene etsiz çiğ köfte,Doritos'lu Çiğ Köfte Dürüm,"8,00 TL"
112,ankara,polatlı,komagene etsiz çiğ köfte,"Doritos'lu Mega Çiğ Köfte Dürüm 125 gr. çiğ köfte, Doritos taco, çift lavaş - .","11,00 TL"
113,ankara,polatlı,komagene etsiz çiğ köfte,Doritos'lu Ultra Mega Dürüm,"12,50 TL"
114,ankara,polatlı,komagene etsiz çiğ köfte,Doritos'lu Double Dürüm,"13,50 TL"
115,ankara,polatlı,komagene etsiz çiğ köfte,Doritos'lu Çiğ Köfte Dürüm Menü,"10,25 TL"
116,ankara,polatlı,komagene etsiz çiğ köfte,Doritos'lu Mega Çiğ Köfte Dürüm Menü,"14,25 TL"
117,ankara,polatlı,komagene etsiz çiğ köfte,Doritos'lu Ultra Mega Dürüm Menü,"15,75 TL"
118,ankara,polatlı,komagene etsiz çiğ köfte,Doritos'lu Double Dürüm Menü,"16,75 TL"
119,ankara,polatlı,komagene etsiz çiğ köfte,2 Mega Çiğ Köfte Dürüm Fırsatı 1,"22,00 TL"
120,ankara,polatlı,komagene etsiz çiğ köfte,2 Mega Çiğ Köfte Dürüm Fırsatı 2,"24,50 TL"
121,ankara,polatlı,komagene etsiz çiğ köfte,Dürüm Menü,"9,00 TL"
122,ankara,polatlı,komagene etsiz çiğ köfte,Dürüm Menü 2,"10,00 TL"
123,ankara,polatlı,komagene etsiz çiğ köfte,Double Dürüm Menü,"15,00 TL"
124,ankara,polatlı,komagene etsiz çiğ köfte,Mega Dürüm Menü,"12,50 TL"
125,ankara,polatlı,komagene etsiz çiğ köfte,Süt Mısır & Mega Dürüm Menü,"16,00 TL"
126,ankara,polatlı,komagene etsiz çiğ köfte,Ultra Mega Dürüm Menü,"14,00 TL"
127,ankara,polatlı,komagene etsiz çiğ köfte,Acıktım Menü 1,"15,50 TL"
128,ankara,polatlı,komagene etsiz çiğ köfte,Acıktım Menü 3,"24,00 TL"
129,ankara,polatlı,komagene etsiz çiğ köfte,Acıktım Menü 4,"22,00 TL"
130,ankara,polatlı,komagene etsiz çiğ köfte,2'li Dürüm Menü,"17,50 TL"
131,ankara,polatlı,komagene etsiz çiğ köfte,Kanka Menü 1,"25,00 TL"
132,ankara,polatlı,komagene etsiz çiğ köfte,Kanka Menü 2,"31,00 TL"
133,ankara,polatlı,komagene etsiz çiğ köfte,3'lü Mega Dürüm Menü,"34,00 TL"
134,ankara,polatlı,komagene etsiz çiğ köfte,3 Adam Menü,"39,00 TL"
135,ankara,polatlı,komagene etsiz çiğ köfte,Aile Menü 1,"55,00 TL"
136,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte Tako Menü 1,"16,00 TL"
137,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte Tako Menü 2,"33,00 TL"
138,ankara,polatlı,komagene etsiz çiğ köfte,2’li Çiğ Köfte Tako Paketi,"13,00 TL"
139,ankara,polatlı,komagene etsiz çiğ köfte,Sıcak Sıcak Menü 1,"15,50 TL"
140,ankara,polatlı,komagene etsiz çiğ köfte,Sıcak Sıcak Menü 5,"21,50 TL"
141,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte (200 gr.),"12,50 TL"
142,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte (400 gr.),"23,50 TL"
143,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte (600 gr.),"36,00 TL"
144,ankara,polatlı,komagene etsiz çiğ köfte,"3 çeyrek göbek marul, limon, 6 adet lavaş, 3 adet çiğ köfte sosu, 3 adet nar ekşili sos","31,50 TL"
145,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte (800 gr.),"41,00 TL"
146,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte (1 kg.),"48,00 TL"
147,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte Dürüm,"6,50 TL"
148,ankara,polatlı,komagene etsiz çiğ köfte,Mega Çiğ Köfte Dürüm,"9,00 TL"
149,ankara,polatlı,komagene etsiz çiğ köfte,Ultra Mega Dürüm,"10,50 TL"
150,ankara,polatlı,komagene etsiz çiğ köfte,Double Dürüm,"11,50 TL"
151,ankara,polatlı,komagene etsiz çiğ köfte,İkili Yemek Fırsatı 1,"18,50 TL"
152,ankara,polatlı,komagene etsiz çiğ köfte,"Soya Soslu Tavuk (150 gr.) + Nohutlu Pilav (150 gr.) + Komagene Ayran (19,5 cl.)","16,00 TL"
153,ankara,polatlı,komagene etsiz çiğ köfte,İkili Yemek Fırsatı 2,"18,50 TL"
154,ankara,polatlı,komagene etsiz çiğ köfte,"Köri Soslu Tavuk (150 gr.) + Nohutlu Pilav (150 gr.) + Komagene Ayran (19,5 cl.)","16,00 TL"
155,ankara,polatlı,komagene etsiz çiğ köfte,İkili Yemek Fırsatı 3,"18,50 TL"
156,ankara,polatlı,komagene etsiz çiğ köfte,"Soya Soslu Tavuk (150 gr.) + Soslu Makarna (150 gr.) + Komagene Ayran (19,5 cl.)","16,00 TL"
157,ankara,polatlı,komagene etsiz çiğ köfte,İkili Yemek Fırsatı 4,"18,50 TL"
158,ankara,polatlı,komagene etsiz çiğ köfte,"Köri Soslu Tavuk (150 gr.) + Soslu Makarna (150 gr.) + Komagene Ayran (19,5 cl.)","16,00 TL"
159,ankara,polatlı,komagene etsiz çiğ köfte,İkili Yemek Fırsatı 6,"18,50 TL"
160,ankara,polatlı,komagene etsiz çiğ köfte,"Tavuk Sote (150 gr.) + Nohutlu Pilav (150 gr.) + Komagene Ayran (19,5 cl.)","16,00 TL"
161,ankara,polatlı,komagene etsiz çiğ köfte,Çorbalar,"6,50 TL"
162,ankara,polatlı,komagene etsiz çiğ köfte,Mercimek Çorbası (230 gr.),"6,50 TL"
163,ankara,polatlı,komagene etsiz çiğ köfte,Ezogelin Çorbası (230 gr.),"6,50 TL"
164,ankara,polatlı,komagene etsiz çiğ köfte,Tavuklu Pilav (300 gr.),"12,50 TL"
165,ankara,polatlı,komagene etsiz çiğ köfte,Tavuklu Pilav (500 gr.),"18,50 TL"
166,ankara,polatlı,komagene etsiz çiğ köfte,Tavuklu Pilav (700 gr.),"21,00 TL"
167,ankara,polatlı,komagene etsiz çiğ köfte,Nohut Pilav (250 gr.),"8,50 TL"
168,ankara,polatlı,komagene etsiz çiğ köfte,Nohut Pilav (375 gr.),"11,50 TL"
169,ankara,polatlı,komagene etsiz çiğ köfte,Pilav Üstü Et Kavurma (300 gr.),"19,00 TL"
170,ankara,polatlı,komagene etsiz çiğ köfte,Pilav Üstü Ciğer Kızartma (300 gr.),"15,00 TL"
171,ankara,polatlı,komagene etsiz çiğ köfte,Pilav Üstü Köfte (300 gr.),"13,50 TL"
172,ankara,polatlı,komagene etsiz çiğ köfte,Soğuk Mezeler,"9,50 TL"
173,ankara,polatlı,komagene etsiz çiğ köfte,Amerikan Salatası (200 gr.),"9,50 TL"
174,ankara,polatlı,komagene etsiz çiğ köfte,Arnavut Ciğeri (150 gr.),"17,50 TL"
175,ankara,polatlı,komagene etsiz çiğ köfte,Barbunya Pilaki (200 gr.),"9,50 TL"
176,ankara,polatlı,komagene etsiz çiğ köfte,Havuç Tarator (200 gr.),"9,50 TL"
177,ankara,polatlı,komagene etsiz çiğ köfte,Haydari (200 gr.),"9,50 TL"
178,ankara,polatlı,komagene etsiz çiğ köfte,Kadınbudu Köfte (3'lü Paket),"11,00 TL"
179,ankara,polatlı,komagene etsiz çiğ köfte,Patlıcan Ezmesi (200 gr.),"9,50 TL"
180,ankara,polatlı,komagene etsiz çiğ köfte,Patlıcan Salatası (200 gr.),"9,50 TL"
181,ankara,polatlı,komagene etsiz çiğ köfte,Şakşuka (200 gr.),"9,50 TL"
182,ankara,polatlı,komagene etsiz çiğ köfte,Zeytinyağlı Yaprak Sarma (250 gr.),"10,00 TL"
183,ankara,polatlı,komagene etsiz çiğ köfte,Ekstralar,"1,50 TL"
184,ankara,polatlı,komagene etsiz çiğ köfte,Burger Sos (30 gr.),"1,50 TL"
185,ankara,polatlı,komagene etsiz çiğ köfte,Çiğ Köfte Sos (22 gr.),"1,00 TL"
186,ankara,polatlı,komagene etsiz çiğ köfte,Çok Acı Sos (22 gr.),"1,00 TL"
187,ankara,polatlı,komagene etsiz çiğ köfte,Paket Nar Ekşisi (15 gr.),"1,00 TL"
188,ankara,polatlı,komagene etsiz çiğ köfte,Lavaş (2 Adet),"1,50 TL"
189,ankara,polatlı,komagene etsiz çiğ köfte,Tako Lavaşı (10 Adet),"6,50 TL"
190,ankara,polatlı,komagene etsiz çiğ köfte,Ekstra Limon (1 Adet),"2,00 TL"
191,ankara,polatlı,komagene etsiz çiğ köfte,Yeşillik (Büyük),"5,00 TL"
192,ankara,polatlı,komagene etsiz çiğ köfte,Yeşillik (Küçük),"4,00 TL"
193,ankara,polatlı,komagene etsiz çiğ köfte,Bardakta Turşu,"2,50 TL"
194,ankara,polatlı,komagene etsiz çiğ köfte,Yoğurt (150 gr.),"2,50 TL"
195,ankara,polatlı,komagene etsiz çiğ köfte,Haşlanmış Süt Mısır (100 gr.) - .,"3,90 TL"
196,ankara,polatlı,komagene etsiz çiğ köfte,Bardakta Mısır (Küçük),"4,00 TL"
197,ankara,polatlı,komagene etsiz çiğ köfte,Bardakta Mısır (Orta),"5,50 TL"
198,ankara,polatlı,komagene etsiz çiğ köfte,Bardakta Mısır (Büyük),"6,50 TL"
199,ankara,polatlı,komagene etsiz çiğ köfte,Portakallı Peynir Helvası,"5,00 TL"
200,ankara,polatlı,komagene etsiz çiğ köfte,İrmik Helvası (120 gr.),"5,00 TL"
201,ankara,polatlı,komagene etsiz çiğ köfte,İrmik Helvası (250 gr.),"9,50 TL"
202,ankara,polatlı,komagene etsiz çiğ köfte,Şam Tatlısı (Adet),"3,50 TL"
203,ankara,polatlı,komagene etsiz çiğ köfte,"Trio Waffle Fındıklı çikolata, çilek, kivi, karamel sos - .","19,00 TL"
204,ankara,polatlı,komagene etsiz çiğ köfte,"Komagene Special Waffle 2 kat waffle hamuru, fındıklı çikolata, muz, kivi, çilek, renkli şekerler, frambuaz sos, toz fındık - .","26,00 TL"
205,ankara,polatlı,komagene etsiz çiğ köfte,Coca-Cola (33 cl.),"5,50 TL"
206,ankara,polatlı,komagene etsiz çiğ köfte,Fanta (33 cl.),"5,50 TL"
207,ankara,polatlı,komagene etsiz çiğ köfte,Sprite (33 cl.),"5,50 TL"
208,ankara,polatlı,komagene etsiz çiğ köfte,Fuse Tea (33 cl.),"5,50 TL"
209,ankara,polatlı,komagene etsiz çiğ köfte,Cappy (33 cl.),"5,50 TL"
210,ankara,polatlı,komagene etsiz çiğ köfte,Komagene Ayran (29 cl.),"3,50 TL"
211,ankara,polatlı,komagene etsiz çiğ köfte,"Komagene Ayran (19,5 cl.)","2,50 TL"
212,ankara,polatlı,komagene etsiz çiğ köfte,Kızılay Sade Soda (20 cl.),"3,00 TL"
213,ankara,polatlı,komagene etsiz çiğ köfte,Kızılay Meyveli Soda (20 cl.),"3,00 TL"
214,ankara,polatlı,komagene etsiz çiğ köfte,Soda (20 cl.),"3,00 TL"
215,ankara,polatlı,komagene etsiz çiğ köfte,Su (50 cl.),"2,00 TL"
216,ankara,polatlı,komagene etsiz çiğ köfte,Coca-Cola (1 L.),"7,50 TL"
217,ankara,polatlı,komagene etsiz çiğ köfte,Komagene Ayran (1 L.),"7,50 TL"
218,ankara,polatlı,komagene etsiz çiğ köfte,Organik Şalgam Suyu (1 L.),"10,00 TL"
219,ankara,polatlı,komagene etsiz çiğ köfte,Poşet,"0,25 TL"
220,ankara,sincan,komagene etsiz çiğ köfte,Coca-Cola Seçilmiş Menüleri,"14,50 TL"
221,ankara,sincan,komagene etsiz çiğ köfte,Seçilmiş Menü (Mega Çiğ Köfte Dürüm) Mega Çiğ Köfte Dürüm + Coca-Cola (33 cl.) - .,"13,00 TL"
222,ankara,sincan,komagene etsiz çiğ köfte,"Seçilmiş Menü (2 Çiğ Köfte Tako) 2 Adet Çiğ Köfte Tako (Tako Lavaşı, Çiğ Köfte, Tako Peyniri, Meksika Fasulyesi, Burger Sos) + Coca-Cola (33 cl.) - .","18,50 TL"
223,ankara,sincan,komagene etsiz çiğ köfte,"Seçilmiş Menü (2 Çiğ Köfte Tako) 2 Adet Çiğ Köfte Tako (Tako Lavaşı, Çiğ Köfte, Tako Peyniri, Meksika Fasulyesi, Burger Sos) + Coca-Cola (33 cl.) - .","16,50 TL"
224,ankara,sincan,komagene etsiz çiğ köfte,Seçilmiş Menü (Çiğ Köfte 200 gr.) Çiğ Köfte (200 gr.) + Coca-Cola (33 cl.) - .,"18,00 TL"
225,ankara,sincan,komagene etsiz çiğ köfte,Seçilmiş Menü (Çiğ Köfte 200 gr.) Çiğ Köfte (200 gr.) + Coca-Cola (33 cl.) - .,"16,00 TL"
226,ankara,sincan,komagene etsiz çiğ köfte,2’li Doritoslu Çiğ Köfte Tako Paketi,"15,00 TL"
227,ankara,sincan,komagene etsiz çiğ köfte,Doritoslu Çiğ Köfte Tako Menü 1,"18,00 TL"
228,ankara,sincan,komagene etsiz çiğ köfte,Doritoslu Çiğ Köfte Tako Menü 2,"37,00 TL"
229,ankara,sincan,komagene etsiz çiğ köfte,Ambalajında Çiğ Köfte (600 gr.),"36,00 TL"
230,ankara,sincan,komagene etsiz çiğ köfte,"3 çeyrek göbek marul, limon, 6 adet lavaş, 3 adet çiğ köfte sosu, 3 adet nar ekşili sos","31,50 TL"
231,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Çiğ Köfte Dürüm,"8,00 TL"
232,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Mega Çiğ Köfte Dürüm,"11,00 TL"
233,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Ultra Mega Dürüm,"12,50 TL"
234,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Double Dürüm,"13,50 TL"
235,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Çiğ Köfte Dürüm Menü,"10,25 TL"
236,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Mega Çiğ Köfte Dürüm Menü,"14,25 TL"
237,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Ultra Mega Dürüm Menü,"15,75 TL"
238,ankara,sincan,komagene etsiz çiğ köfte,Doritos'lu Double Dürüm Menü,"16,75 TL"
239,ankara,sincan,komagene etsiz çiğ köfte,2 Mega Çiğ Köfte Dürüm Fırsatı 1,"22,00 TL"
240,ankara,sincan,komagene etsiz çiğ köfte,2 Mega Çiğ Köfte Dürüm Fırsatı 2,"24,50 TL"
241,ankara,sincan,komagene etsiz çiğ köfte,Dürüm Menü,"9,00 TL"
242,ankara,sincan,komagene etsiz çiğ köfte,Dürüm Menü 2,"10,00 TL"
243,ankara,sincan,komagene etsiz çiğ köfte,Genç Menü,"14,50 TL"
244,ankara,sincan,komagene etsiz çiğ köfte,Double Dürüm Menü,"15,00 TL"
245,ankara,sincan,komagene etsiz çiğ köfte,Mega Dürüm Menü,"12,50 TL"
246,ankara,sincan,komagene etsiz çiğ köfte,Ultra Mega Dürüm Menü,"14,00 TL"
247,ankara,sincan,komagene etsiz çiğ köfte,Acıktım Menü 1,"15,50 TL"
248,ankara,sincan,komagene etsiz çiğ köfte,Acıktım Menü 2,"19,50 TL"
249,ankara,sincan,komagene etsiz çiğ köfte,Acıktım Menü 3,"24,00 TL"
250,ankara,sincan,komagene etsiz çiğ köfte,Acıktım Menü 4,"22,00 TL"
251,ankara,sincan,komagene etsiz çiğ köfte,2'li Dürüm Menü,"17,50 TL"
252,ankara,sincan,komagene etsiz çiğ köfte,Kanka Menü 1,"25,00 TL"
253,ankara,sincan,komagene etsiz çiğ köfte,Kanka Menü 2,"31,00 TL"
254,ankara,sincan,komagene etsiz çiğ köfte,3'lü Mega Dürüm Menü,"34,00 TL"
